sentence,sentiment
too bad i won t be around i lost my job and can t even pay my phone bill lmao aw shucks,0
damm back to school tomorrow,0
mo jobs no money how in the hell is min wage here f n clams an hour,0
not forever see you soon,0
agreed i saw the failwhale allllll day today,0
oh haha dude i dont really look at em unless someone says hey i added you sorry i m so terrible at that i need a pop up,0
i m sure you re right i need to start working out with you and the nikster or jared at least,0
i really hate how people diss my bands trace is clearly not ugly,0
gym attire today was puma singlet adidas shorts and black business socks and leather shoes lucky did not run into any cute girls,0
why won t you show my location,0
no picnic my phone smells like citrus,0
my donkey is sensitive about such comments nevertheless he d and me d be glad to see your mug asap charger is still awol,0
no new csi tonight fml,0
i think my arms are sore from tennis,0
wonders why someone that u like so much can make you so unhappy in a split seccond depressed,0
sleep soon i just hate saying bye and see you tomorrow for the night,0
just got ur newsletter those fares really are unbelievable shame i already booked and paid for mine,0
missin the boo,0
me too itm,0
damn i don t have any chalk my chalkboard is useless,0
had a blast at the getty villa but hates that she s had a sore throat all day it s just getting worse too,0
hey missed ya at the meeting sup mama,0
my tummy hurts i wonder if the hypnosis has anything to do with it if so it s working i get it stop smoking,0
why is it always the fat ones,0
sorry babe my fam annoys me too thankfully they re asleep right now muahaha evil laugh,0
i should have paid more attention when we covered photoshop in my webpage design class in undergrad,0
wednesday my b day don t know what do,0
poor cameron the hills,0
pray for me please the ex is threatening to start sh at my our babies st birthday party what a jerk and i still have a headache,0
hmm do u really enjoy being with him if the problems are too constants u should think things more find someone ulike,0
strider is a sick little puppy,0
so rylee grace wana go steve s party or not sadly since its easter i wnt b able do much but ohh well,0
hey i actually won one of my bracket pools too bad it wasn t the one for money,0
you don t follow me either and i work for you,0
a bad nite for the favorite teams astros and spartans lose the nite out with t w was good,0
body of missing northern calif girl found police have found the remains of a missing northern california girl,0
i hope they will increase the capacity fast yesterday was such a pain got the fail whale times in hours,0
behind on my classes for work,0
watching quot house quot,0
remember my bum leg strikes back this time its serious,0
cool i will their are all kinds of complaints about this laptop online about overheating but no recalls,0
emily will be glad when mommy is done training at her new job she misses her,0
would rather the first party send bad messages than the rd party send mixed ones sophmore year all over again,0
it s overrated,0
i know i heard it this afternoon and wondered the same thing moscow is so behind the times,0
laying in bed with no voice,0
i m sooo sad they killed off kutner on house whyyyyyyyy,0
sorry tell them mea culpa from me and that i really am sorry,0
it didn t make any sense to me the suicide thing i refuse to believe that that is actually what happened,0
hope your ok,0
damn the grind is inspirational and saddening at the same time don t want you to stop cuz i like what u do much love,0
yeah aw but i know i wudnt stand a chance,0
ugh cant sleep its am,0
hanging in crooners wanna sing can t sucks,0
aaw i miss ya all too im leaving to bh tomorrow quot morning quot i think aww i wanna go to the beach w u girls,0
is pissed off that there s no asba s for a radio station,0
wednesday my b day n don t know what do,0
i know my life has been flipped upside down when i just thought in my head that some ramen sounds good,0
i am in pain my back and sides hurt not to mention crying is made of fail,0
late night snack glass of oj b c i m quot down with the sickness quot then back to sleep ugh i hate getting sick,0
but but but i m not a big fan on camilla belle,0
wah i can t see clip must be el stupido work filters can t wait till i get a puter something else blame ex he broke mine,0
this week just seems to get longer and longer in terms of how much i need to do and how much i m actually going to get done,0
i m so cold,0
ehhh don t weather s gonna take a turn for the ugly tomorrow,0
haha its so cooooold in the d and no but you should still go to the show they do some incredible stuff,0
hoping the tummy rumbles go away soon,0
no no notice they told me i d be working tomorrow and then i called the agency to follow up and they said it was over,0
almost bedtime,0
i m missing you babe but as long as your alive i m happy yawwwnn i m tired my love imma try to sleep hopefully you had a headstart,0
agh snow,0
i miss kenny powers,0
thank you for letting people know but now i m sad that the direct message i got wasn t actually from bridget,0
and india missed out its th test victory n th consecutive win without a loss,0
i guess that s a no then,0
sadly is going to bed,0
shame to hear this stephan,0
hey i m leavin in the morning,0
was intending to finish editing my page novel manuscript tonight but that will probably not happen and only pages are left,0
laid around too much today now my head hurts,0
i still haven t read the th amp th princess diaries saving francesca made me cry at the end hmm those are easy books,0
my nokia died,0
my mom might have breast cancer won t find out anything for like a week i m so worried,0
going to sleep hoping tomorrow is a better day,0
lol wish they understood daylight savings has ended though and breakfast is an hour later they keep waking the kids up too,0
that is lame,0
i don t understand i really don t,0
heroes just isn t doing it for me this season,0
living not downtown sure isn t much fun,0
not calorie wise i wish junk food was calorie free i ate a thing of sour skittles and a big ass cherry coke,0
man work is hard,0
getting sick time for some hot tea studying and then sleeeep,0
getting eyebrows waxed more pain,0
no phantasy star yesterday going to work,0
oh just got all my macheist apps sweet didn t get the espresso serial no though although they said they sent it oh well,0
picked mich st to win it all from the get go was feeling pretty good about that pick all the way up until tonight a s lost too,0
is alone downstairs working,0
i feel bad for doing it,0
is it just me or she hates anoop i mean seriously she s kinda mean to him,0
yes sprint has g only in baltimore and chicago so far,0
i m stuck awake in the middle of the night for the second day in a row and i felt terrible yesterday,0
thanks for bursting my bubble,0
going to school soon can t find anything to wear gosh it s so hard,0
i was serious lol,0
i had on my page for sooooo long until it got deleted sad day in history,0
crazy wind today no birding,0
currently at work,0
grrr my ipods acting weird too jai ho and thinking of you aren t playing the full songs ughh,0
send me the dvd cos i have missed out on heaps not happy about that,0
i don t see the big deal with this website,0
i m so sorry you re having to go through this again therapyfail,0
far too out of the way for rail any other tips,0
i m not still up i swear why do i keep losing gaining losing gaining tweeps so heart wrenching,0
today i realized i am too good at hiding things even i can t find it,0
staying at a friends house house sitting neighbors are so loud having a party,0
danny im upset that i wasnt here to watch the live chat i was in a car for hours on a trip im soooo upset,0
check out my mug,0
borders closed at,0
downloading nin s new album quot the slip quot when the hell did this come out i m so behind the times these days,0
just woke up an already have written some e mail i ve to go early at university today as i have to teach at am,0
is watching the hill and its making me sad,0
so many channels yet so so boring lazy day again may have to find a hobby,0
i miss my buddy ill be in ny on the th,0
love the french i tell people here in the south i m qtr french and they snarl at me french are beautiful people,0
opps as i said i still got one day remain and now problem come,0
i activated my selfcontrol block early meaning i can t check out the new qc regularizing my internal clock is might be difficult fb,0
oh no,0
spencer is not a good guy,0
what about reese dying on ttsc and season finale next week boring madame president is a crazy woman,0
i hate the limited letters too hope you and the guys are fine i pray for my dog she s not well,0
didn t get shit done today i m so screwed,0
wanttss to go out,0
is not going to sleep tonite,0
too worried and tired to post tonight,0
couldn t get shit done today i m so screwed,0
job interview in cardiff today wish me luck got about hours sleep,0
your show is whack way worse than whack it s wiggety whack,0
i really don t think people choose to be that way but i think he chose not to accept my family s help he might be dead by now,0
you re going to kill me but i ve not seen ds i ve been waiting till i can do it in one solid week sitting,0
i think ur right hahaha hrs now,0
i hate to see the spartans so sad,0
my mind and body are severely protesting this quot getting up quot thing had nightmares to boot,0
i m goin to follow u since u didn t lol go angels,0
i think i want to read some books but the library doesn t have them,0
my nap was interrupted so many times today going out for japanese with the rents again,0
kind of longs for the bus that shows up at the end of ghost world right now ugh,0
but this is canada canada is weird we re supposed to get snow through wednesday ugh,0
awwh babs you look so sad underneith that shop entrance of quot yesterday s musik quot o i like the look of the new transformer movie,0
sad that the feet of my macbook just fell off,0
i m gonna get up late tomorrow and it s am here i gonna get tipsy by my lonesome that s that s just sad,0
i m sweating my forthcoming trip to e if i can t find someone to crash with while i m out there i may be screwed,0
has now gotten somebody to read his tweets but cant get them to make an account,0
omgawd i couldnt handle my cat being in heat all the time d d,0
i hope i can make it to the auburn show but its not looking good for me,0
thats people mag haha i couldnt fit it all in i dont think those pictures ever made it in the magazine tho haha,0
congrats i totally forgot to submit photos,0
awww good luck paula please don t work too hard but i hope you have fun your new album is gonna be amazing xxx,0
now your leaving me gets sad,0
i miss you twitter my phone broke now i m using a stupid nokia phone ughhh i miss my advance phone,0
shooting outside my house o not kidding so scared,0
tuesday ll start with reflection  n then a lecture in stress reducing techniques that sure might become very useful for us accompaniers,0
what tragedy and disaster in the news this week,0
yes yes still trying to find a picture that will upload correclty,0
why oh why was the red sox game rained out i was so looking forward to opening day,0
i still can t find my keys,0
i know right i dunno what is going on with twitter,0
might be getting a sore throat again,0
my home town my mammy called all depressd pls explain y a parent let their yr old child walk alone hello its,0
i think i need to find better anti depressants i think this paxil wellbutrin combo is losing its efficacy,0
restaurant called woodntap has competitive eating tourney round tourney time we place nd,0
is in the bathroom wake up lakin,0
i want tacos and margarhitas telll gay i say hello lt,0
im lonely keep me company female california,0
bad day at the betfair office,0
i miss him can t wait to celebrate the tar heel win this weekend though,0
i m really cold i don t want to go to sleep yet but there s nothing to do,0
is this it u its officially over me this go round,0
monkeys i just found out you my twin and you wont even write back i m heartbroken,0
aww i know i felt like that yesterday at work,0
treaty isn t defined,0
missed brent at praise band no fun to not have the your lead guitarist lt pout gt,0
poor john this is what happens when you play with fruit and a microwave seriously though have you seen a doctor xxx,0
missing my bff watching home and away it reminds me of her and me we lt it shout out to u courts,0
new video card is doa,0
feeling lost naked and confused jk sort of no iphone for me,0
damn i am so late at filling this appraisal form people have almost sent it i was so occupied in work,0
missed brent at praise band no fun to not have your lead guitarist lt pout gt,0
i think to much on the past i cant change it i deserved so much more then wat i got but why am i still thinking about him gah,0
has lost his ring it s no where to be seen,0
ooooooh sealclap see i download shitloads of zip folders off chan i have no internet moneys fuck yeah alicia amp mikey,0
is still nursing my nile but glad he is feeling better i hate when my baby is sick,0
is fucked to go back to ic,0
yoyoyo my internet has been rude tonight it just reconnected and i m about to go to bed,0
well i have uni stuff and netball but after netbal if i ve done uni stuff we can,0
me too i is poor,0
help me forget th april amp th july,0
dierks bentley is comin to columbus oh i wanna go so bad,0
i have to take my sidekick back,0
congrats i m totally jealous only wish my xm was working,0
gr t my face is very itchy,0
poor socks luvvvvv the golden retriever i want one sighhhh,0
i just saw that they found that tracy girl in a piece of luggage how fucking terrible,0
aaaaand the nausea is back,0
ooh i m excited and not even going be there long love youtube,0
spent hour to reach to axis bank only to find out today is holiday for mahavir jayanti contd,0
i agree the jobros dont update theres very often,0
it is hilarious and i linked the clip from lj some time ago but when i went back just now it was a dead link,0
oooooooo who with im not neither but thats because i need to study,0
haven t tweeted nearly all day posted my website tonight hopefully that goes well night time,0
i miss bentley,0
seriously needs to finish these job applications,0
my son vincas is sick so i stay at home just three tense days at work and i am back on holiday with kids,0
whinging my client amp boss don t understand english well rewrote some text unreadable it s written by v good writer amp reviewed correctly,0
i don t want him to ever punch me,0
sooo sick of the snow ughh,0
it doesn t work your fan is upset,0
i would like to apologize for the repeated video games live related tweets i am going to have a stern discussion with koodo soon stern,0
but i cant figure out how to get there back pay for a hotel etc,0
fml so much for seniority bc of technological ineptness i now have to quot register quot for classes again,0
feels like she slept the day away not looking forward to any more bouts with my gallbladder at least i have pills now for the pain,0
but what i really want is my old bass back,0
mad tired today callin it in early tonight nighty night twittas,0
take it easy and be good to you,0
i m afraid i had bad code,0
think i m going to bed goodniight i hate this,0
i m here friend and i love you,0
all this time you didn t notice i was gone just needed db is it,0
is in the bathroom and i have to pee,0
but i wanted a margarita too,0
yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night its tough,0
just called hillsong again they said they couldn t tell me where i was on the waiting list i don t know if it s looking so good,0
has g of milky bar left and around ml of coke,0
it stillllll hasn t arrived,0
mraow i feel like dancing but first art school wants to rape me some more,0
ah i bet it does i ve been like craving to play softball or basketball but i have noo time,0
is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back,0
amazon s plugin not worked in my website it need php but my hosting provider has only php very sad,0
argh i was suuuper sleepy an hour ago now i m wide awake hope i don t stay up all night,0
i wish i was sold out if you have some time let me know i would love to hear more about what you are up to,0
just watched tropic thunder dreading tomorrow,0
no he s still miss n,0
chiefdelphi is down,0
according to my bro our new puppy had a poo fight and was covered in poop picture stolen from him,0
playing game at home my new boss didn t call me yet,0
su yin huen tweeted i feel unbearable guilt i made my staff cry,0
poor joshy is sick those damn tejanos,0
my thoughts are with sandra cantu s family at this difficult and sad time,0
i know just wanted to let everybody know what was happening,0
michigan who i don t know them sigh shameful,0
i have to fill two hours,0
so cuuute hey i miss you na its not the same not seeing you girls everyday,0
oh did i mention it quot gooooood moooorniiiiiiing quot from germany im back in my cage or better my office,0
throat is closing up and i had some string cheese not a good idea,0
aww sandra cantu is found dead in a suitcase missing children stories never seem to go good poor family,0
wishing i was home underneath my covers,0
walking home from school drains all my energy,0
i agree the shapeshifting is a copout i was so excited for angela s ep i thought it was this week noah was awesome tho,0
dang i would have done this if i knew it was there earlier any other outings planned,0
i wish i was better at writing it s taking me so long to write this paper,0
and of course i have access to my halo mythic map pack re download but bad news not the legendary map pack ugh ms,0
not yet unfortunately another few weeks i ve been told how are you i ve been a little bit busy with my latest project,0
ha the sun s already gone,0
day a lot harder than day let s see how day goes tomorrow,0
my man crush jake peavy let me down gayforpeavy,0
megafast trip you have time during day tom weds or you going out tonight want to see you bad tried to warn you tech fail,0
michigan state you make me sad,0
omg my mouth is in so much pain i just wanna sleep untill its time to take my braces off,0
getting annoyed easily today gt gt gt biofuel proposal getting annoyed easily today gt gt gt biof,0
hey girl the site is back girlyvue is back and they have even more videos,0
i m spending time with my grandma early tomorrow and i can t leave skittles by herself,0
just got home from watching michigan state get tromped,0
oh jew bus two years worth of classes work is alot to organize gt _ lt i m not finishing tonight it s not possible my bones ache,0
no exchanging for me my laptop hasn t arrived,0
i hope this doesn t last too long i feel miserable,0
rachel hang outage is neccessary i was gonna be home this wekend but dumb folk make me work so im free f and sat until,0
not fun amp furious the new mantra for the bay breakers it was getting rambunctious the city overreacted amp clamped down,0
my hubby for some reason thinks it s more important he has a good spot for red carpet for the trek movie premiere sod,0
i swear no matter how long i ve been getting up at am it never gets any easier man my eyes hurts wah,0
jeffree how do you keep your hair one color my permanent dye fades within the week,0
my reaction too whoa didn t see that coming,0
still sick feeling a bit better got some new medicine hope i feel good after a night of sleep ohh and it s suppose to snow wtf,0
i think maybe you should get a couple more hours of sleep hon how productive can you be right now if ur dog tired i worry,0
thanks a lot learned a lot of new words but didn t find what i was looking for,0
wish i had all the xblm downloads all on the gamertag hitokyri this gamertag thing is nonsense and i m tired of it,0
new testament test at am,0
tons no hay troll ahhhh,0
stupid movies we watched mirrors ugggggh stooopeeed rip off,0
i love you buck,0
last one but still not done,0
homework,0
i don t understand why things get taken away i didn t have enough time with him its unfair i want him back he was like my baby,0
scratch that du in heif two in a half cookies my tum just can t take anymore shoog poots,0
i was just listening to the sweets for the first time in forever i miss them so much can we go to chi town for visits plz,0
geez what a busy afternoon meetings emails meetings and email and more meetings pm and the day is still going ah its dark and,0
dang another spring break how cool is that too bad i have to work all week oh well more money for a phone ttyl everbody,0
im afraid too ur reply about uni from ages ago,0
feeling down,0
lol they are some emotional ass men omg all this late night eating both of us are broke,0
aww nick i like your hair longer why did you cut it off break my heart,0
wonder if jon lost the net,0
wow the most depressing thing in the world is losing a video that you ve created in a matter of seconds fml,0
but all says not in stock,0
lmao im sorry poohpot i ate it all,0
any chance softbelly for isn t loud,0
time to move my posterior and lose some fat my articulation are creaking so no more running but i m drool for some swimming,0
listening to nathan cry,0
today sucked i m gonna die without chris and callum wahhh,0
stou site not update no info about exam and open course i must wait for mail notices and doc um,0
sorry i m feeling kinda yucky myself am is going to come too quick,0
is in love with scrappy and is missin him already,0
wants to hear s song but myspace is messing with me,0
bad news was dad has cancer and is dying good news new business started and i am now a life coach practising holistic weight management,0
man intervention is soo sad,0
help i need a new boyfriend i m stuck in a rut,0
i feel like a complete idiot i m the only one who doesn t get how this shit works help me,0
saw an ad on craigslist for a casting call for a female host on g i was totally psyched but realized it was a hoax,0
pepperoni rolls in l a i called valentino s they said that they had sausage rolls but no pepperoni rolls,0
yes it will be it s only monday,0
i want the new gg episode already,0
i miss watching rocko s modern life,0
rip sandra its so sad how can someone do something like that,0
keeping my fingers crossed for my buddy he is not feeling well,0
wait should i eat or be skinny for vegas i m hungry,0
i tried tweetdeck once and i hated it with a passion or it hated me i m not sure,0
btw my iphone is acting funny dying quickly and freezing and bs i m not admitting anything just sayin,0
sitting here wondering why quot ed quot still has such a strong hold on me,0
im sorry i got you sick lol going to bed too night,0
no internet at home have to drive into ox to use internet because of builders,0
the weather in canada is freezing,0
twiggassssssss i been out of range all day i m back now and hopefully for good,0
anyone who reads this pray for my grandma she s in pain,0
woke up and was having an accident quot it s pushing it s pushing quot he was crying because he couldn t stop from wetting his pants,0
home from franklin street i almost jumped over a fire someone kicked it before i could jenny lost her shoe,0
hey you just changed your default,0
finally gave in and was bored enough to start this thing i think the is going to be a problem for me tho its like a myspace status,0
if oooonly we were really so lucky eh and awh definitely too early for work,0
buttload of homework,0
needs another copy of visual studio,0
why to we the only school in the world be in this week my school is silly anyway look on the bright side when i m off u will be in,0
omg i ve an economics test and i dont know all the things i have to know and omg im gonna fail,0
once upon a time hundred islands was the pride of philippine tourism but coral clam rare fish poaching did it in kinda sad,0
yeah apparently i have really bad taste,0
i know i was really surprised since everyone recommends them on youtube i have to call them tomorrow and figure it all out,0
waiting at the airport for my ride while i get harassed by men trying to sell me ugly hats why me i just want to sleep,0
i left my ids at the location and now i can not go out to bars fuckkkkkkkkkkkkk,0
i m sorry i don t understand your last comment,0
when is the announcement i stayed up late last night,0
this is strange illegal torrents avlbl everywhere legal dvd not in stock what do i do now,0
its not enough to say that imiss u,0
this trolley has up packed in like sardines padre game and they remove a car good call mts,0
jeez i was just trying to help haha,0
that happened to me saturday night along with my glittery green lighter,0
trying to reduce the number of cigarettes in each day,0
yea it is so quiet around here cuz everyone has to work im bored to death with nobody to talk to,0
gotta do my cooking assignment its too hard,0
okay about the applepears i ve talked to a few people and they ve all had them before no one ever told me never,0
i know i m a night owl by nature hahaha am i a time zone behind you it s almost here,0
lol nope but i did have complete camerafail,0
but i m useless if i don t sleep it s not fair i want all the fun as well,0
my pookie has a uti i have to be nurse gabbie and get him back to no more sodas,0
tweet something damn it and hang out with me please,0
i m so behind in video games and everything for that matter i m yesterday s news,0
i did it was the only one left but i got tempted and ate it soon as i got home i had a chocolate velvet amp ate d mocha,0
is stressing out because my blackberry keeps flashing a red alert status for no reason its faking me out and i hate it,0
i wanna wear my doc martens out haven t worn them since december,0
when to the shoe repair shop and the guy could not find my shoes so i have to go back and see if he can find them in a couple days,0
i did not really see that coming,0
just woke up from the most vivid sketchy not cool dreams of my life time to stare at the wall with the lights on,0
it ll take days for my sister to get her passport,0
oh my yes i miss,0
uh oh i think i am getting sick,0
good god they ruined my belly button,0
watching who framed roger rabbit makes me miss toon town,0
renting but very cheap renting and awesome house we had buying attempts fall through,0
running nose spinning head not a good combination for a meeting,0
negative you lost my vote of confidence,0
nasty budget due and my iphone is being sent to apple today,0
that s bad,0
dammit episode of kings won t play for some reason stopped in the middle now won t do anything,0
i m so upset that i missed my chat and quiz online because my free internet has ceased,0
can t believe it i m in disbelief of it all in a way really how much can i take from people and always get hurt by others,0
car show season has started without me,0
my throat is raw,0
i just don t get it what in a persons mind could even have them on some ish like this my prayers are with her fam for real,0
i hate you i didn t need to see that i need to call my therapist now,0
twilight didn t come yesterday fingers crossed for today,0
glad i was able help you feel better i hate to see you sick love you,0
is tireddddddd want to sleep but i have an assignment to finish and an exam tomorrow to study for,0
you know i was thinking i need money,0
omg its jst teusday,0
ummmmm i cant find it,0
just heard that they found sandra cantu she was only yrs old,0
ive forgotten how to snoo snoo i wonder if snoo snoo and i will ever meet again,0
wow that last tweet made me seem like a giant sexist sorry about that,0
my bathtub drain is fired it haz job do amp it iz fail i got all drano on its ass amp iz still not draining i wanna shower dangit,0
stuck at home,0
mine is how do you get it up,0
duckling in famous children s book stolen from boston s public garden the boston globe via oh no,0
thank you however i hate to be on the same list that includes convicts,0
heading to altrincham again out of hours install,0
morning good im bloody knackered work is not for me today helppp xxx,0
i don t have a garage but you can park in my driveway,0
what happened,0
quot on popular music quot by t w adorno is probably the most difficult reading ever prescribed i m actually struggling to continue,0
cant see the flowers falling i dont have a camera just my cellphone,0
we ve been good i m not liking the snow right now was getting used to the nice spring like weather how about you,0
what a pity youtube is currently blocked in china i can t see the vids,0
what happened to your show it was the hightlight of my life,0
this is the best leather sofa in the world it s in the office though which means i m still here working,0
still more days until my internet gets uncapped,0
if he doesn t get better in a few days he could have something lodged in his belly,0
i love my atekinzz so much amp amp i soo miss her,0
i wanna sneak into the zoo and play with the kitties,0
oh no hope you re not getting sick too,0
i dont think i can cause its my cousins birthday party,0
our sweet little man just fell asleep while waiting up for daddy and big brother to get home poor baby he missed them so much today,0
the angel is going to miss the athlete this weekend,0
trust is hard,0
have watched that considering today yaknow shawnna tomomorrow i need my bestfriend,0
grr i want to keep reading but if i do i wont have anything left to read,0
atekinzz where in the world are you,0
no u supposed to be my date,0
pears amp brie bottle of cabernet and quot win a date with tad hamilton quot oh gawwd my life flashed forward to when i m with my cats,0
crap i need more dresses too,0
yeah i know it was horrible ugh saddening,0
geez ur no fun are you,0
i wanna be in a punk rock band again,0
that s a lot of angst for a tuesday afternoon,0
i m very glad britney isn t crazy anymore that was one hell of a show now i m sad that it s over next up ap at cook county,0
has a huuuge headache omg i feel like crap,0
sorry,0
sorry i was rooting for them too,0
man that took forever,0
i see,0
